                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.75779,                0.45845,                0.88611,                0.93931,                0.92611,                0.95466,                0.72492,                0.83593,                0.47788,                0.90984,             0.00019799,             0.00019799,             0.00019799
                     76,                0.76018,                0.45354,                 0.8844,                 0.9523,                0.92425,                0.95931,                0.72162,                0.85384,                0.46765,                0.92124,             0.00019092,             0.00019092,             0.00019092
                     77,                0.76923,                0.46181,                0.89165,                0.94945,                0.92088,                0.95698,                0.71715,                0.86056,                0.47512,                0.91839,             0.00018385,             0.00018385,             0.00018385
                     78,                0.74922,                0.43947,                0.88533,                0.94586,                0.92274,                  0.959,                0.72009,                0.84078,                0.46614,                0.91297,             0.00017679,             0.00017679,             0.00017679
                     79,                0.74031,                0.44679,                0.89008,                0.93999,                 0.9182,                0.94989,                0.72375,                0.83774,                0.46618,                 0.9128,             0.00016972,             0.00016972,             0.00016972
                     80,                0.75476,                0.44221,                0.88382,                0.95611,                0.92016,                0.95822,                0.72967,                0.82614,                 0.4589,                0.90943,             0.00016265,             0.00016265,             0.00016265
                     81,                0.74771,                0.44245,                0.87894,                0.94814,                0.93258,                0.96043,                 0.7269,                0.84547,                0.46156,                0.91428,             0.00015558,             0.00015558,             0.00015558
                     82,                0.74203,                0.44098,                0.87463,                0.94164,                0.92426,                0.95553,                0.73022,                0.83566,                0.45604,                0.90558,             0.00014851,             0.00014851,             0.00014851
                     83,                 0.7448,                0.44207,                0.88047,                 0.9501,                0.91845,                0.95923,                0.72975,                0.83229,                0.46017,                0.89956,             0.00014144,             0.00014144,             0.00014144
                     84,                0.73212,                0.43466,                0.88156,                0.96581,                0.91363,                0.95737,                0.72823,                0.82362,                0.45225,                0.89613,             0.00013437,             0.00013437,             0.00013437
